,Actual,Predicted
0,152.0,158.93554154896128
1,170.0,166.84508600225632
2,157.0,163.76915204819716
3,172.0,166.40566686596216
4,165.0,166.84508600225632
5,164.35600298284854,164.08506231846286
6,172.0,161.57205636672631
7,175.0,162.45089463931464
8,164.35600298284854,164.08506231846286
9,156.5,158.05670327637296
10,163.0,161.5281144530969
11,166.0,165.5268285933738
12,176.0,172.55753477408052
13,179.0,180.02766009108137
14,173.0,159.37496068525547
15,154.0,162.18724315753815
16,170.0,168.8664140292095
17,164.35600298284854,164.08506231846286
18,176.0,176.07288786443385
19,270.0,159.81437982154964
20,164.0,168.07545958388
21,169.8,162.45089463931464
22,173.0,165.5268285933738
23,161.0,171.67869650149217
24,165.0,165.966247729668
25,159.0,168.91035594283892
26,168.0,162.3190688984264
27,152.0,159.02342537622013
28,181.0,169.04218168372716
29,158.9,168.16334341113884
30,176.0,160.69321809413796
31,164.35600298284854,164.08506231846286
32,177.0,173.43637304666885
33,148.0,161.35234679857922
34,156.0,155.77172376764327
35,165.0,160.2537989578438
36,170.0,166.40566686596216
37,182.0,176.51230700072801
38,149.3,164.20857118449132
39,153.0,160.2537989578438
40,150.0,154.9807693223138
41,164.35600298284854,164.08506231846286
42,173.0,160.2537989578438
43,169.0,166.84508600225632
44,161.0,164.4722226662678
45,172.0,166.84508600225632
46,159.0,156.29902673119628
47,173.0,171.67869650149217
48,178.0,164.64799032078548
49,152.0,162.01147550302048
50,161.0,163.76915204819716
51,162.0,160.16591513058495
52,166.0,165.5268285933738
53,164.35600298284854,164.08506231846286
54,154.0,158.58400623992597
55,175.0,172.55753477408052
56,161.5,167.2845051385505
57,160.0,156.6066201266022
58,164.35600298284854,164.08506231846286
59,158.0,162.01147550302048
60,172.0,168.3830529792859
61,168.0,170.79985822890384
62,155.0,162.01147550302048
63,167.0,162.01147550302048
64,157.0,159.33101877162605
65,175.0,166.84508600225632
66,174.0,166.84508600225632
67,179.0,171.239277365198
68,153.0,157.44151648556112
69,156.0,156.21114290393746
70,171.0,164.20857118449132
71,169.0,168.16334341113884
72,156.0,162.8903137756088
73,148.5,158.49612241266712
74,157.0,164.20857118449132
75,156.0,158.05670327637296
76,179.0,169.9210199563155
77,168.0,175.6334687281397
78,176.0,165.5268285933738
79,168.0,159.81437982154964
80,158.0,156.73844586749044
81,162.5,162.45089463931464
82,170.0,165.5268285933738
83,156.0,160.2537989578438
84,164.0,168.602762547433
85,171.0,169.9210199563155
86,175.0,161.57205636672631
87,178.0,181.3459174999639
88,169.0,161.13263723043212
89,157.0,159.81437982154964
90,164.35600298284854,164.08506231846286
91,164.0,169.9210199563155
92,179.0,167.2845051385505
93,174.0,161.13263723043212
94,171.0,162.45089463931464
95,156.0,158.05670327637296
96,166.0,163.32973291190297
97,173.0,170.79985822890384
98,176.0,163.76915204819716
99,154.0,163.9009777890854
100,158.0,160.69321809413796
101,148.0,155.42018845860795
102,156.3,154.10193104972544
103,166.0,168.602762547433
104,164.35600298284854,164.08506231846286
105,177.0,167.2845051385505
106,149.0,162.01147550302048
107,168.0,156.73844586749044
108,165.0,162.3630108120558
109,153.0,162.49483655294407
110,167.0,160.2537989578438
111,179.0,171.239277365198
112,157.0,163.32973291190297
113,172.0,170.36043909260968
114,144.0,162.45089463931464
115,168.0,161.13263723043212
116,161.5,161.17657914406155
117,167.0,172.99695391037469
118,164.35600298284854,164.08506231846286
119,154.2,159.81437982154964
120,151.2,160.69321809413796
121,162.0,173.43637304666885
122,164.35600298284854,164.08506231846286
123,166.0,158.49612241266712
124,173.0,162.8903137756088
125,186.0,172.55753477408052
126,171.0,178.2699835459047
127,167.0,158.93554154896128
128,158.0,155.94749142216097
129,149.0,157.6172841400788
130,159.7,158.49612241266712
131,171.0,165.5268285933738
132,164.0,158.49612241266712
133,164.35600298284854,164.08506231846286
134,170.0,162.45089463931464
135,153.0,158.05670327637296
136,152.0,159.81437982154964
137,156.0,160.8250438350262
138,159.0,162.45089463931464
139,154.0,162.93425568923823
140,168.0,169.04218168372716
141,174.0,174.31521131925717
142,164.35600298284854,164.08506231846286
143,152.0,159.81437982154964
144,170.0,168.16334341113884
145,150.5,160.2537989578438
146,159.0,167.2845051385505
147,175.0,169.04218168372716
148,168.0,168.602762547433
149,160.0,159.37496068525547
150,170.0,169.48160082002133
151,144.0,153.44280234528418
152,173.0,162.45089463931464
153,161.0,161.57205636672631
154,164.35600298284854,164.08506231846286
155,170.0,162.45089463931464
156,175.0,163.76915204819716
157,158.0,175.19404959184553
158,164.35600298284854,164.08506231846286
159,153.0,157.17786500378463
160,175.0,171.239277365198
161,175.0,165.966247729668
162,170.0,172.55753477408052
163,171.0,167.72392427484465
164,156.0,171.239277365198
165,162.5,164.20857118449132
166,165.0,167.72392427484465
167,169.0,163.32973291190297
168,151.0,157.52940031281994
169,156.0,161.57205636672631
170,158.0,163.19790717101472
171,160.0,168.16334341113884
172,184.0,167.72392427484465
173,166.0,161.57205636672631
174,164.35600298284854,164.08506231846286
175,159.0,167.54815662032698
176,173.0,166.40566686596216
177,169.0,160.2537989578438
178,174.0,166.40566686596216
179,178.0,171.67869650149217
180,157.0,157.8809356218553
181,175.0,164.64799032078548
