,Actual,Predicted
0,152.0,159.79787416901908
1,170.0,166.59037525975026
2,157.0,163.94884705779924
3,172.0,166.213014088043
4,165.0,166.59037525975026
5,158.0,166.213014088043
6,172.0,162.0620411992628
7,175.0,162.8167635426774
8,156.5,158.6657906538972
9,156.5,159.0431518256045
10,163.0,162.02430508209207
11,166.0,165.4582917446284
12,176.0,171.49607049194503
13,179.0,177.91121041096892
14,173.0,160.17523534072637
15,154.0,162.59034683965302
16,170.0,168.3262366496038
17,152.0,159.0431518256045
18,176.0,174.51495986560334
19,270.0,160.55259651243367
20,164.0,167.6469865405307
21,169.8,162.8167635426774
22,173.0,165.4582917446284
23,161.0,170.74134814853045
24,165.0,165.8356529163357
25,159.0,168.36397276677454
26,168.0,162.7035551911652
27,152.0,159.87334640336053
28,181.0,168.47718111828672
29,158.9,167.72245877487214
30,176.0,161.30731885584822
31,166.0,159.4205129973118
32,177.0,172.25079283535962
33,148.0,161.87336061340918
34,156.0,157.0808737327266
35,165.0,160.92995768414096
36,170.0,166.213014088043
37,182.0,174.89232103731064
38,149.3,164.32620822950653
39,153.0,160.92995768414096
40,150.0,156.40162362365348
41,175.0,159.79787416901908
42,173.0,160.92995768414096
43,169.0,166.59037525975026
44,161.0,164.5526249325309
45,172.0,166.59037525975026
46,159.0,157.53370713877536
47,173.0,170.74134814853045
48,178.0,164.70356940121383
49,152.0,162.4394023709701
50,161.0,163.94884705779924
51,162.0,160.85448544979948
52,166.0,165.4582917446284
53,184.0,153.7978315388732
54,154.0,159.49598523165324
55,175.0,171.49607049194503
56,161.5,166.96773643145755
57,160.0,157.79785995897043
58,151.0,164.32620822950653
59,158.0,162.4394023709701
60,172.0,167.91113936072577
61,168.0,169.98662580511586
62,155.0,162.4394023709701
63,167.0,162.4394023709701
64,157.0,160.13749922355564
65,175.0,166.59037525975026
66,174.0,166.59037525975026
67,179.0,170.36398697682316
68,153.0,158.5148461852143
69,156.0,157.45823490443388
70,171.0,164.32620822950653
71,169.0,167.72245877487214
72,156.0,163.19412471438469
73,148.5,159.4205129973118
74,157.0,164.32620822950653
75,156.0,159.0431518256045
76,179.0,169.2319034617013
77,168.0,174.13759869389605
78,176.0,165.4582917446284
79,168.0,160.55259651243367
80,158.0,157.91106831048262
81,162.5,162.8167635426774
82,170.0,165.4582917446284
83,156.0,160.92995768414096
84,164.0,168.09981994657943
85,171.0,169.2319034617013
86,175.0,162.0620411992628
87,178.0,179.0432939260908
88,169.0,161.68468002755552
89,157.0,160.55259651243367
90,175.0,162.0620411992628
91,164.0,169.2319034617013
92,179.0,166.96773643145755
93,174.0,161.68468002755552
94,171.0,162.8167635426774
95,156.0,159.0431518256045
96,166.0,163.57148588609198
97,173.0,169.98662580511586
98,176.0,163.94884705779924
99,154.0,164.06205540931143
100,158.0,161.30731885584822
101,148.0,156.77898479536077
102,156.3,155.6469012802389
103,166.0,168.09981994657943
104,155.0,156.02426245194619
105,177.0,166.96773643145755
106,149.0,162.4394023709701
107,168.0,157.91106831048262
108,165.0,162.74129130833592
109,153.0,162.8544996598481
110,167.0,160.92995768414096
111,179.0,170.36398697682316
112,157.0,163.57148588609198
113,172.0,169.6092646334086
114,144.0,162.8167635426774
115,168.0,161.68468002755552
116,161.5,161.72241614472625
117,167.0,171.87343166365233
118,168.0,160.92995768414096
119,154.2,160.55259651243367
120,151.2,161.30731885584822
121,162.0,172.25079283535962
122,166.0,159.0431518256045
123,166.0,159.4205129973118
124,173.0,163.19412471438469
125,186.0,171.49607049194503
126,171.0,176.40176572413978
127,167.0,159.79787416901908
128,158.0,157.2318182014095
129,149.0,158.6657906538972
130,159.7,159.4205129973118
131,171.0,165.4582917446284
132,164.0,159.4205129973118
133,155.0,162.0620411992628
134,170.0,162.8167635426774
135,153.0,159.0431518256045
136,152.0,160.55259651243367
137,156.0,161.4205272073604
138,159.0,162.8167635426774
139,154.0,163.2318608315554
140,168.0,168.47718111828672
141,174.0,173.00551517877417
142,155.0,164.5526249325309
143,152.0,160.55259651243367
144,170.0,167.72245877487214
145,150.5,160.92995768414096
146,159.0,166.96773643145755
147,175.0,168.47718111828672
148,168.0,168.09981994657943
149,160.0,160.17523534072637
150,170.0,168.85454228999401
151,144.0,155.08085952267797
152,173.0,162.8167635426774
153,161.0,162.0620411992628
154,176.0,173.38287635048147
155,170.0,162.8167635426774
156,175.0,163.94884705779924
157,158.0,173.76023752218876
158,165.0,162.4394023709701
159,153.0,158.2884294821899
160,175.0,170.36398697682316
161,175.0,165.8356529163357
162,170.0,171.49607049194503
163,171.0,167.34509760316485
164,156.0,170.36398697682316
165,162.5,164.32620822950653
166,165.0,167.34509760316485
167,169.0,163.57148588609198
168,151.0,158.59031841955576
169,156.0,162.0620411992628
170,158.0,163.4582775345798
171,160.0,167.72245877487214
172,184.0,167.34509760316485
173,166.0,162.0620411992628
174,148.0,160.7412770982873
175,159.0,167.19415313448192
176,173.0,166.213014088043
177,169.0,160.92995768414096
178,174.0,166.213014088043
179,178.0,170.74134814853045
180,157.0,158.89220735692157
181,175.0,164.70356940121383
182,170.0,160.92995768414096
183,178.0,172.25079283535962
184,170.0,163.19412471438469
185,155.0,159.4205129973118
186,181.0,171.87343166365233
187,151.5,159.45824911448253
188,166.8,164.32620822950653
189,161.5,163.94884705779924
190,165.0,167.72245877487214
191,163.2,163.94884705779924
192,170.0,178.28857158267624
193,178.0,164.70356940121383
194,154.0,155.98652633477545
195,172.0,162.8167635426774
196,163.0,168.09981994657943
197,152.0,160.55259651243367
198,163.0,165.8356529163357
199,181.0,173.00551517877417
200,167.0,162.0620411992628
201,165.0,164.32620822950653
202,168.0,168.85454228999401
203,161.0,162.0620411992628
204,166.0,164.32620822950653
205,186.0,160.92995768414096
206,168.0,169.98662580511586
207,170.0,173.76023752218876
208,159.0,163.94884705779924
209,161.0,166.13754185370152
210,178.0,162.8167635426774
211,177.0,164.70356940121383
212,178.0,162.4394023709701
213,173.0,166.59037525975026
214,173.0,166.59037525975026
215,151.0,160.55259651243367
216,149.5,157.15634596706806
217,174.0,164.70356940121383
218,173.0,160.92995768414096
219,169.0,162.8167635426774
220,157.0,158.32616559936065
221,179.0,171.87343166365233
222,177.0,174.51495986560334
223,171.0,164.32620822950653
224,151.0,166.0998057365308
225,164.0,163.68469423760416
226,175.0,163.94884705779924
227,152.0,155.2695401085316
228,170.0,161.30731885584822
229,163.5,160.17523534072637
230,163.5,166.59037525975026
231,154.0,159.948818637702
232,173.0,159.79787416901908
233,157.0,159.4205129973118
234,169.0,161.68468002755552
