,Actual,Predicted
0,152.0,159.26077738188656
1,170.0,167.23372233001118
2,157.0,164.1331326279627
3,172.0,166.79078094400427
4,165.0,167.23372233001118
5,164.0,163.6901912419558
6,172.0,161.91842569792811
7,175.0,162.80430846994196
8,164.0,163.6901912419558
9,156.5,158.3748946098727
10,163.0,161.8741315593274
11,166.0,165.90489817199042
12,176.0,172.9919603481012
13,179.0,180.5219639102189
14,173.0,159.7037187678935
15,154.0,162.53854363833779
16,170.0,169.27125270564304
17,164.0,163.6901912419558
18,176.0,176.53549143615658
19,270.0,160.1466601539004
20,164.0,168.47395821083057
21,169.8,162.80430846994196
22,173.0,165.90489817199042
23,161.0,172.10607757608733
24,165.0,166.34783955799733
25,159.0,169.31554684424373
26,168.0,162.67142605413989
27,152.0,159.34936565908794
28,181.0,169.4484292600458
29,158.9,168.56254648803196
30,176.0,161.03254292591424
31,164.0,163.6901912419558
32,177.0,173.87784312011505
33,148.0,161.69695500492463
34,156.0,156.0715994026367
35,165.0,160.58960153990733
36,170.0,166.79078094400427
37,182.0,176.97843282216348
38,149.3,164.57607401396965
39,153.0,160.58960153990733
40,150.0,155.27430490782424
41,164.0,163.6901912419558
42,173.0,160.58960153990733
43,169.0,167.23372233001118
44,161.0,164.8418388455738
45,172.0,167.23372233001118
46,159.0,156.60312906584502
47,173.0,172.10607757608733
48,178.0,165.01901539997658
49,152.0,162.36136708393502
50,161.0,164.1331326279627
51,162.0,160.50101326270595
52,166.0,165.90489817199042
53,164.0,163.6901912419558
54,154.0,158.90642427308103
55,175.0,172.9919603481012
56,161.5,167.6766637160181
57,160.0,156.91318803604986
58,164.0,163.6901912419558
59,158.0,162.36136708393502
60,172.0,168.7840171810354
61,168.0,171.2201948040735
62,155.0,162.36136708393502
63,167.0,162.36136708393502
64,157.0,159.6594246292928
65,175.0,167.23372233001118
66,174.0,167.23372233001118
67,179.0,171.66313619008042
68,153.0,157.754776669463
69,156.0,156.51454078864364
70,171.0,164.57607401396965
71,169.0,168.56254648803196
72,156.0,163.24724985594887
73,148.5,158.81783599587965
74,157.0,164.57607401396965
75,156.0,158.3748946098727
76,179.0,170.33431203205964
77,168.0,176.09255005014967
